model-1645326242, 0, 1645326252.314, 0.212, 0.209
model-1645326242, 0, 1645326252.317, 0.216, 0.194
model-1645326242, 0, 1645326252.32, 0.21, 0.227
model-1645326242, 0, 1645326252.324, 0.213, 0.204
model-1645326242, 0, 1645326252.327, 0.213, 0.204
model-1645326242, 0, 1645326252.331, 0.212, 0.217
model-1645326242, 0, 1645326252.334, 0.214, 0.214
model-1645326242, 0, 1645326252.337, 0.209, 0.192
model-1645326242, 0, 1645326252.341, 0.216, 0.213
model-1645326242, 0, 1645326252.344, 0.212, 0.205
model-1645326242, 0, 1645326252.348, 0.209, 0.202
model-1645326242, 0, 1645326252.351, 0.207, 0.209
model-1645326242, 0, 1645326252.354, 0.208, 0.209
model-1645326242, 0, 1645326252.357, 0.208, 0.217
model-1645326242, 0, 1645326252.361, 0.202, 0.222
model-1645326242, 0, 1645326252.364, 0.203, 0.204
model-1645326242, 0, 1645326252.367, 0.212, 0.212
model-1645326242, 0, 1645326252.371, 0.199, 0.197
model-1645326242, 0, 1645326252.374, 0.2, 0.206
model-1645326242, 0, 1645326252.377, 0.208, 0.213
model-1645326242, 0, 1645326252.381, 0.202, 0.212
model-1645326242, 0, 1645326252.384, 0.201, 0.196
model-1645326242, 0, 1645326252.387, 0.201, 0.215
model-1645326242, 0, 1645326252.391, 0.209, 0.219
model-1645326242, 0, 1645326252.394, 0.204, 0.211
model-1645326242, 0, 1645326252.398, 0.207, 0.217
model-1645326242, 0, 1645326252.401, 0.202, 0.194
model-1645326242, 0, 1645326252.404, 0.201, 0.213
model-1645326242, 0, 1645326252.407, 0.206, 0.202
model-1645326242, 0, 1645326252.411, 0.206, 0.204
model-1645326242, 0, 1645326252.414, 0.204, 0.216
model-1645326242, 0, 1645326252.418, 0.202, 0.195
model-1645326242, 0, 1645326252.421, 0.203, 0.216
model-1645326242, 0, 1645326252.424, 0.199, 0.21
model-1645326242, 0, 1645326252.428, 0.202, 0.193
model-1645326242, 0, 1645326252.431, 0.195, 0.191
model-1645326242, 0, 1645326252.434, 0.2, 0.202
model-1645326242, 0, 1645326252.438, 0.199, 0.193
model-1645326242, 0, 1645326252.441, 0.2, 0.208
model-1645326242, 0, 1645326252.444, 0.193, 0.201
model-1645326242, 0, 1645326252.447, 0.205, 0.185
model-1645326242, 0, 1645326252.451, 0.198, 0.2
model-1645326242, 0, 1645326252.454, 0.197, 0.185
model-1645326242, 0, 1645326252.457, 0.202, 0.206
model-1645326242, 0, 1645326252.46, 0.196, 0.201
model-1645326242, 0, 1645326252.463, 0.199, 0.195
model-1645326242, 0, 1645326252.466, 0.195, 0.189
model-1645326242, 0, 1645326252.47, 0.198, 0.201
model-1645326242, 0, 1645326252.473, 0.2, 0.198
model-1645326242, 0, 1645326252.476, 0.199, 0.19
model-1645326242, 0, 1645326252.479, 0.192, 0.205
model-1645326242, 0, 1645326252.482, 0.198, 0.18
model-1645326242, 0, 1645326252.485, 0.201, 0.181
model-1645326242, 0, 1645326252.489, 0.193, 0.203
model-1645326242, 0, 1645326252.492, 0.197, 0.207
model-1645326242, 0, 1645326252.495, 0.196, 0.178
model-1645326242, 0, 1645326252.498, 0.199, 0.187
model-1645326242, 0, 1645326252.501, 0.2, 0.19
model-1645326242, 0, 1645326252.504, 0.196, 0.2
model-1645326242, 0, 1645326252.507, 0.192, 0.193
