model-1645326242, 0, 1645326254.554, 0.21, 0.211
model-1645326242, 0, 1645326254.559, 0.213, 0.203
model-1645326242, 0, 1645326254.565, 0.207, 0.212
model-1645326242, 0, 1645326254.571, 0.21, 0.222
model-1645326242, 0, 1645326254.576, 0.21, 0.207
model-1645326242, 0, 1645326254.582, 0.209, 0.201
model-1645326242, 0, 1645326254.588, 0.21, 0.203
model-1645326242, 0, 1645326254.593, 0.205, 0.22
model-1645326242, 0, 1645326254.599, 0.212, 0.182
model-1645326242, 0, 1645326254.605, 0.208, 0.209
model-1645326242, 0, 1645326254.61, 0.204, 0.213
model-1645326242, 0, 1645326254.616, 0.202, 0.197
model-1645326242, 0, 1645326254.621, 0.203, 0.194
model-1645326242, 0, 1645326254.627, 0.203, 0.213
model-1645326242, 0, 1645326254.632, 0.197, 0.217
model-1645326242, 0, 1645326254.638, 0.198, 0.209
model-1645326242, 0, 1645326254.644, 0.206, 0.204
model-1645326242, 0, 1645326254.649, 0.194, 0.213
model-1645326242, 0, 1645326254.655, 0.195, 0.202
model-1645326242, 0, 1645326254.66, 0.202, 0.203
model-1645326242, 0, 1645326254.666, 0.195, 0.2
model-1645326242, 0, 1645326254.671, 0.194, 0.178
model-1645326242, 0, 1645326254.677, 0.194, 0.211
model-1645326242, 0, 1645326254.682, 0.202, 0.205
model-1645326242, 0, 1645326254.688, 0.197, 0.209
model-1645326242, 0, 1645326254.693, 0.199, 0.207
model-1645326242, 0, 1645326254.699, 0.194, 0.19
model-1645326242, 0, 1645326254.705, 0.193, 0.201
model-1645326242, 0, 1645326254.71, 0.197, 0.207
model-1645326242, 0, 1645326254.716, 0.197, 0.188
model-1645326242, 0, 1645326254.721, 0.195, 0.194
model-1645326242, 0, 1645326254.727, 0.192, 0.206
model-1645326242, 0, 1645326254.732, 0.193, 0.204
model-1645326242, 0, 1645326254.738, 0.189, 0.195
model-1645326242, 0, 1645326254.744, 0.191, 0.203
model-1645326242, 0, 1645326254.749, 0.184, 0.193
model-1645326242, 0, 1645326254.755, 0.189, 0.181
model-1645326242, 0, 1645326254.76, 0.187, 0.188
model-1645326242, 0, 1645326254.766, 0.188, 0.194
model-1645326242, 0, 1645326254.772, 0.18, 0.2
model-1645326242, 0, 1645326254.777, 0.191, 0.19
model-1645326242, 0, 1645326254.783, 0.184, 0.175
model-1645326242, 0, 1645326254.788, 0.183, 0.169
model-1645326242, 0, 1645326254.794, 0.187, 0.19
model-1645326242, 0, 1645326254.8, 0.181, 0.189
model-1645326242, 0, 1645326254.805, 0.183, 0.189
model-1645326242, 0, 1645326254.81, 0.18, 0.174
model-1645326242, 0, 1645326254.816, 0.181, 0.173
model-1645326242, 0, 1645326254.821, 0.183, 0.181
model-1645326242, 0, 1645326254.827, 0.181, 0.178
model-1645326242, 0, 1645326254.832, 0.174, 0.175
model-1645326242, 0, 1645326254.838, 0.179, 0.187
model-1645326242, 0, 1645326254.843, 0.181, 0.179
model-1645326242, 0, 1645326254.849, 0.174, 0.167
model-1645326242, 0, 1645326254.854, 0.176, 0.16
model-1645326242, 0, 1645326254.86, 0.175, 0.178
model-1645326242, 0, 1645326254.865, 0.177, 0.164
model-1645326242, 0, 1645326254.871, 0.177, 0.173
model-1645326242, 0, 1645326254.876, 0.172, 0.169
model-1645326242, 0, 1645326254.881, 0.168, 0.174
